Question,Scheme,Marks,AOs
1 (a),"\((-2,-3)\)",B1,1.1b
,,(1),
(b),"\((-2,5)\)",B1,1.1 b
,,(1),
(c),Either \(x=0\) or \(y=-13\),M1,\(1.1 b\)
,"\((0,-13)\)",A1,1.1 b
,,(2),"\\
 \multicolumn{4}{|l|}{ (4 marks) } \\
 \multicolumn{4}{|l|}{ Notes: }"
Question,Scheme,Marks,AOs
\(\mathbf{3}\),Sets \(\mathrm{f}(-2)=0 \Rightarrow(-2-4)\left((-2)^{2}-3 \times-2+k\right)-42=0\),M1,3.1 a
\cline { 2 - 4 },\(-6(k+10)=42 \Rightarrow k=\ldots\),M1,1.1 b
\cline { 2 - 5 },\(k=-17\),A 1,1.1 b
\cline { 2 - 5 },,\(\mathbf{( 3 )}\),"\\
 \multicolumn{4}{|l|}{ (3 marks) }"
Question,Scheme,Marks,AOs
3 (a),(i) \(x^{2}+y^{2}-10 x+16 y=80 \Rightarrow(x-5)^{2}+(y+8)^{2}=\ldots\),M1,\(1.1 b\)
,"Centre \((5,-8)\)",A1,1.1 b
,(ii) Radius 13,A1,\(1.1 b\)
,,(3),
(b),![](https://cdn.mathpix.com/cropped/2024_10_02_ac75d09201ee034eecfag-09.jpg?height=76,width=503,top_left_y=569
top_left_y=569,top_left_x=581),M1,3.1 a
,\(13+\sqrt{89}\) but ft on their centre and radius,A1ft,1.1 b
,,(2),"\\
 \multicolumn{4}{|l|}{ (5 marks) } \\
 \multicolumn{4}{|l|}{ Notes: }"
Question,Scheme,Marks,AOs
4 (a),\(\lim _{\delta x \rightarrow 0} \sum_{x=2.1}^{6.3} \frac{2}{x} \delta x=\int_{2.1}^{6.3} \frac{2}{x} \mathrm{~d} x\),B 1,1.2
\((\mathrm{~b)\)},\(=[2 \ln x]_{2.1}^{6.3}=2 \ln 6.3-2 \ln 2.1\),\(\mathbf{( 1 )}\),
,\(=\ln 9 \quad \mathrm{CSO}\),A 1,1.1 b
,,\(\mathbf{( 2 )}\),
,,,\(\mathbf{( 3}\) marks)
Notes:,,,
Question,Scheme,Marks,AOs
5 (a),"Attempts to use \(\quad h^{2}=a t+b\) \\
with either \(t=2, h=2.6\) or \(t=10, h=5.1\)",M1,\(3.1 b\)
,"Correct equations \\

\(2 a+b=6.76\) \\
\(10 a+b=26.01\)",A1,\(1.1 b\)
,Solves simultaneously to find values for \(a\) and \(b\),dM1,\(1.1 b\)
,\(h^{2}=2.41 t+1.95\) cao,A1,3.3
,,(4),
(b),"Substitutes \(t=20\) into their \(h^{2}=2.41 t+1.95\) and finds \(h\) or \(h^{2}\) \\
Or substitutes \(h=7\) into their \(h^{2}=2.41 t+1.95\) and finds \(t\)",M1,3.4
,"Compares the model with the true values and concludes ""good \\
model"" with a minimal reason \\
E.g. I Finds \(h=7.08(\mathrm{~m})\) and states that it is a good model as \\
\(7.08(\mathrm{~m})\) is close to \(7(\mathrm{~m})\) \\
E.g II Finds \(t=19.5\) years and states that the model is accurate \\
as 19.5 (years) \(\approx 20\) (years)",A1,3.5 a
,,(2),"\\
 \multicolumn{4}{|l|}{ (6 marks) } \\
 \multicolumn{4}{|l|}{ Notes: }"
Question,Scheme,Marks,AOs
6 (a),\(2<x<6\),B1,\(1.1 b\)
,,(1),
(b),States either \(k>8\) or \(k<0\),M1,\(3.1 a\)
,States e.g. \(\{k: k>8\} \cup\{k: k<0\}\),A1,2.5
,,(2),
\((c)\),Please see notes for alternatives,,
,States \(y=a x(x-6)^{2}\) or \(\mathrm{f}(x)=a x(x-6)^{2}\),M1,1.1 b
,"Substitutes \((2,8)\) into \(y=a x(x-6)^{2}\) and attempts to find \(a\)",dM1,3.1 a
,\(y=\frac{1}{4} x(x-6)^{2}\) or \(\mathrm{f}(x)=\frac{1}{4} x(x-6)^{2}\) o.e,A1,2.1
,,(3),"\\
 \multicolumn{4}{|l|}{ (6 marks) } \\
 \multicolumn{4}{|l|}{ 
Notes: Watch for answers written by the question. If they are beside the question and in \\
the answer space, the one in the answer space takes precedence
 }"
Question,Scheme,Marks,AOs
7 (i),"For setting up the contradiction: \\
There exists integers \(p\) and \(q\) such that \(p q\) is even and both \(p\) and \\
\(q\) are odd",B1,2.5
,"For example, sets \(p=2 m+1\) and \(q=2 n+1\) and then attempts \\
\(p q=(2 m+1)(2 n+1)=\ldots\)",M1,\(1.1 b\)
,"Obtains \(p q=(2 m+1)(2 n+1)=4 m n+2 m+2 n+1\) \\
\(=2(2 m n+m+n)+1\) \\
States that this is odd, giving a contradiction so \\
"" if \(p q\) is even, then at least one of \(p\) and \(q\) is even"" *",A1*,2.1
,,(3),
(ii),,,
,\((x+y)^{2}<9 x^{2}+y^{2} \Rightarrow 2 x y<8 x^{2}\),M1,2.2a
,"States that as \\
\(x<0  \Rightarrow 2 y>8 x \\
 \Rightarrow y>4 x *\)",A1*,2.1
,,(2),"\\
 \multicolumn{4}{|l|}{ (5 marks) } \\
 \multicolumn{4}{|l|}{ Notes: }"
Question,Scheme,Marks,AOs
8 (a),25,B1,3.4
,,(1),
(b),"Attempts to differentiate using the product rule \\
\(\frac{\mathrm{d} v}{\mathrm{~d} t}=\ln (t+1) \times-0.4+\frac{(10-0.4 t)}{t+1}\)","M1 \\
A1","3.1 b \\
1.1 b"
,"Sets their \(\frac{\mathrm{d} v}{\mathrm{~d} t}=0 \Rightarrow \frac{(10-0.4 \boldsymbol{t})}{(\boldsymbol{t}+1)}=0.4 \ln (t+1)\) and then makes \\
progress towards making "" \(t\) "" the subject (See notes for this)",dM1,\(1.1 b\)
,"\(t=\frac{25-\ln (t+1)}{1+\ln (t+1)}\) \\
\(\quad t=\frac{26}{1+\ln (t+1)}-1 *\)",A1*,2.1
,,(4),
(c),(i) Attempts \(t_{2}=\frac{26}{1+\ln 8}-1\),M1,\(1.1 b\)
,awrt 7.298,A1,1.1 b
,(ii) awrt 7.33 seconds,A1,3.2 a
,,(3),"\\
 \multicolumn{4}{|l|}{ (8 marks) } \\
 \multicolumn{4}{|l|}{ Notes: }"
Question,Scheme,Marks,AOs
9(a),Attempts both \(|\overrightarrow{P Q}|=\sqrt{2^{2}+3^{2}+(-4)^{2}}\) and \(|\overrightarrow{Q R}|=\sqrt{5^{2}+(-2)^{2}}\),M1,3.1 a
,States that \(|\overrightarrow{P Q}|=|\overrightarrow{Q R}|=\sqrt{29}\) so \(P Q R S\) is a rhombus,A1,2.4
,,(2),
(b),"Attempts BOTH \(\overrightarrow{P R}=\overrightarrow{P Q}+\overrightarrow{Q R}=7 \mathbf{i}+3 \mathbf{j}-6 \mathbf{k}\) \\
AND \(\quad \overrightarrow{Q S}=-\overrightarrow{P Q}+\overrightarrow{P S}=3 \mathbf{i}-3 \mathbf{j}+2 \mathbf{k}\)",M1,3.1 a
,Correct \(\overrightarrow{P R}=7 \mathbf{i}+3 \mathbf{j}-6 \mathbf{k}\) and \(\overrightarrow{Q S}=3 \mathbf{i}-3 \mathbf{j}+2 \mathbf{k}\),A1,\(1.1 b\)
,Correct method for area \(P Q R S\). E.g. \(\frac{1}{2} \times|\overrightarrow{P R}| \times|\overrightarrow{Q S}|\),dM1,2.1
,\(=\sqrt{517}\),A1,\(1.1 b\)
,,(4),"\\
 \multicolumn{4}{|l|}{ (6 marks) } \\
 \multirow{4}{*}{ 
Alt (b) \\
Example \\
using the \\
cosine \\
rule"
